age,gender,sleep_hours,screen_time_hours,distance_travelled_km,places_visited,exercise_minutes,work_hours,social_score,caffeine_mg,step_count,study_hours,phone_usage_type,screen_to_sleep_ratio,movement_intensity,stress_score,stress_level,random_noise_feature
21,Female,4.9,4.3,10.4,2,49,8,8,353,5125,2.0,mixed,0.878,5.2,43.2,medium,810.5301
37,Male,7.0,6.8,8.7,7,3,10,9,83,3980,1.0,social,0.971,1.243,20.4,low,555.3296
24,Male,6.0,1.7,5.8,3,73,7,1,380,7182,0.4,mixed,0.283,1.933,43.7,medium,480.6792
23,Female,8.8,3.1,2.9,2,66,4,7,376,9282,4.9,study,0.352,1.45,38.8,low,802.5989
24,Male,5.0,,5.3,5,52,10,7,178,8285,1.6,mixed,0.4,1.06,55.1,medium,100.8793
53,Other,6.5,1.8,5.4,2,49,4,4,123,4640,1.3,mixed,0.277,2.7,42.0,medium,855.1278
46,Other,8.8,3.1,7.8,1,22,4,2,225,10373,3.5,study,0.352,7.8,46.0,medium,319.2195
20,Female,5.4,6.8,5.6,6,71,6,8,53,3770,2.6,social,1.259,0.933,44.3,medium,709.406
34,Female,5.9,2.6,9.4,2,51,6,6,132,2518,4.9,study,0.441,4.7,39.0,low,50.9584
21,Male,7.9,3.2,,2,37,5,3,0,10262,3.8,study,0.405,1.6,47.8,medium,671.1183
20,Male,6.0,1.9,6.9,6,17,5,1,277,3052,4.7,study,0.317,1.15,72.6,high,32.2157
37,Male,8.6,,11.8,4,52,7,9,258,8082,4.0,study,0.779,2.95,31.2,low,575.9723
53,Female,7.0,4.3,10.7,6,84,4,1,230,11649,1.4,mixed,0.614,1.783,32.3,low,395.1392
49,Female,5.1,7.7,4.3,5,72,5,4,85,8418,1.2,gaming,1.51,0.86,54.9,medium,890.8737
41,Male,5.2,5.5,,4,16,4,7,137,7653,1.0,mixed,1.058,1.9,51.4,medium,259.2737
21,Male,4.5,6.1,4.8,5,33,4,7,251,4633,2.0,social,1.356,0.96,68.9,medium,926.2824
28,Male,8.2,4.1,1.7,1,68,9,1,176,11499,1.5,mixed,0.5,1.7,44.5,medium,225.6344
34,Male,7.9,5.2,7.5,4,67,8,2,46,1754,0.0,social,0.658,1.875,22.1,low,723.4852
