age,gender,screen_time_hours,sleep_hours,distance_travelled_km,places_visited,exercise_minutes,work_hours,social_score,caffeine_mg,step_count,study_hours,phone_usage_type,screen_to_sleep_ratio,movement_intensity,stress_score,stress_level,random_noise_feature
28,Male,2.4,9.0,4.9,3,72,9,7,62,3412,3.9,gaming,0.267,1.633,34.4,low,869.5971
58,Male,9.8,5.9,5.5,7,94,10,7,233,2713,0.9,gaming,1.661,0.786,49.1,medium,466.8773
29,Female,5.7,5.2,4.7,4,101,7,2,300,12279,4.9,study,1.096,1.175,41.3,medium,908.2494
25,Female,8.1,5.3,7.9,7,48,9,5,309,13379,1.8,gaming,1.528,1.129,51.0,medium,236.6992
55,Male,3.0,7.8,14.3,8,39,9,4,111,14235,2.7,mixed,0.385,1.788,30.4,low,635.9008
44,Male,9.9,4.8,10.2,6,13,10,4,279,11067,4.4,gaming,2.062,1.7,69.6,medium,759.0745
27,Male,3.3,4.3,9.6,1,116,10,2,414,12499,2.0,mixed,0.767,9.6,25.5,low,24.9551
52,Female,7.1,6.6,2.6,3,105,9,3,93,12291,4.6,study,1.076,0.867,62.5,medium,873.5176
59,Female,8.6,5.9,1.1,3,97,6,1,85,7296,5.9,gaming,1.458,0.367,26.9,low,249.8343
27,Female,4.8,5.6,3.0,1,42,4,2,10,9382,5.4,study,0.857,3.0,52.4,medium,11.0361
33,Female,6.7,4.1,10.4,4,98,4,3,492,7655,1.9,social,1.634,2.6,43.7,medium,890.6471
37,Female,7.7,7.4,8.2,4,114,8,1,143,8699,0.7,social,1.041,2.05,35.0,low,570.2276
42,Female,4.1,5.1,70.0,3,55,11,4,344,4328,4.7,study,0.804,3.533,48.0,medium,956.873
31,Female,4.2,4.2,12.2,3,16,11,2,88,14691,2.6,mixed,1.0,4.067,62.2,medium,846.5795
38,Male,4.5,7.4,6.2,1,94,10,1,1,3906,3.3,mixed,0.608,6.2,39.2,low,418.3841
47,Male,5.7,7.2,14.2,1,73,7,2,404,2861,1.4,social,0.792,14.2,26.2,low,757.327
44,Male,9.9,7.1,12.1,4,119,10,5,299,9437,1.3,gaming,1.394,3.025,62.9,medium,261.4109
58,Male,3.0,8.6,14.1,1,82,9,3,314,1678,4.2,study,0.349,14.1,23.4,low,434.6385
54,Male,2.2,4.7,14.3,9,28,8,2,192,5051,4.7,study,0.468,1.589,45.4,medium,984.9866
29,Female,9.3,7.3,5.0,5,56,7,9,468,2074,2.8,gaming,1.274,1.0,48.2,medium,557.2878
19,Male,7.3,5.9,5.2,9,58,9,4,263,12892,1.6,social,1.237,0.578,55.1,medium,103.1796
59,Male,6.1,4.3,8.6,7,37,4,3,141,10329,2.1,study,1.419,1.229,54.6,medium,302.2666
38,Male,9.8,5.7,5.3,6,13,7,7,486,14031,3.0,gaming,1.719,0.883,79.9,high,279.2198
31,Female,7.5,5.5,12.6,1,38,6,5,93,13867,4.2,study,1.364,12.6,42.0,medium,624.5485
46,Male,8.8,4.9,9.0,9,84,11,3,341,7771,5.5,gaming,1.796,1.0,58.6,medium,97.9762
41,Female,3.6,5.3,4.4,5,9,9,5,239,9797,5.3,gaming,0.679,0.88,73.0,high,755.7408
46,Female,3.6,7.2,5.3,8,73,10,6,95,10707,1.9,mixed,0.5,0.662,38.7,low,765.9975
48,Female,2.4,7.7,5.3,3,102,11,5,110,12529,4.4,study,0.312,1.767,38.1,low,349.1614
47,Female,,7.2,12.6,3,28,10,5,291,8440,4.5,study,0.306,4.2,38.0,low,465.7411
39,Female,6.0,,6.6,7,39,5,5,408,13364,0.8,social,0.714,0.943,40.8,medium,518.6825
